timestamp,sport,game_title,outcome,price,market_id
2026-05-03 19:18:05+00:00,NBA,Thunder vs. Lakers,Lakers,0.245,2144514
2026-05-03 19:18:05+00:00,NBA,Thunder vs. Lakers,Thunder,0.755,2144514
2026-05-03 19:18:04+00:00,NBA,Timberwolves vs. Spurs,Spurs,0.855,2131708
2026-05-03 19:18:04+00:00,NBA,Timberwolves vs. Spurs,Timberwolves,0.145,2131708
2026-05-03 19:18:04+00:00,NBA,Timberwolves vs. Spurs,Spurs,0.825,2131710
2026-05-03 19:18:04+00:00,NBA,Timberwolves vs. Spurs,Timberwolves,0.175,2131710
2026-05-03 19:19:06+00:00,NHL,Avalanche vs. Wild,Avalanche,0.5,2148564
2026-05-03 19:19:06+00:00,NHL,Avalanche vs. Wild,Wild,0.5,2148564
2026-05-03 19:18:05+00:00,NHL,Canadiens vs. Lightning,Canadiens,0.395,2140682
2026-05-03 19:18:04+00:00,NHL,Canadiens vs. Lightning,Lightning,0.605,2140682
2026-05-03 19:19:06+00:00,NHL,Ducks vs. Golden Knights,Ducks,0.395,2148535
2026-05-03 19:19:06+00:00,NHL,Ducks vs. Golden Knights,Golden Knights,0.605,2148535
2026-05-03 19:19:06+00:00,NHL,Ducks vs. Golden Knights,Ducks,0.405,2148541
2026-05-03 19:19:06+00:00,NHL,Ducks vs. Golden Knights,Golden Knights,0.595,2148541
2026-05-03 19:19:06+00:00,NHL,Flyers vs. Hurricanes,Flyers,0.305,2148529
2026-05-03 19:19:06+00:00,NHL,Flyers vs. Hurricanes,Hurricanes,0.695,2148529
2026-05-03 19:19:06+00:00,NHL,Golden Knights vs. Ducks,Ducks,0.49,2148552
2026-05-03 19:19:06+00:00,NHL,Golden Knights vs. Ducks,Golden Knights,0.51,2148552
2026-05-03 19:19:06+00:00,NHL,Golden Knights vs. Ducks,Ducks,0.5,2148572
2026-05-03 19:19:06+00:00,NHL,Golden Knights vs. Ducks,Golden Knights,0.5,2148572
2026-05-03 19:19:06+00:00,NHL,Hurricanes vs. Flyers,Flyers,0.5,2148546
2026-05-03 19:19:06+00:00,NHL,Hurricanes vs. Flyers,Hurricanes,0.5,2148546
2026-05-03 19:19:06+00:00,NHL,Hurricanes vs. Flyers,Flyers,0.495,2148559
2026-05-03 19:19:06+00:00,NHL,Hurricanes vs. Flyers,Hurricanes,0.51,2148559
2026-05-03 19:19:06+00:00,NHL,Wild vs. Avalanche,Avalanche,0.645,2140693
2026-05-03 19:19:06+00:00,NHL,Wild vs. Avalanche,Wild,0.355,2140693
2026-05-03 19:19:06+00:00,NHL,Wild vs. Avalanche,Avalanche,0.645,2140709
2026-05-03 19:19:06+00:00,NHL,Wild vs. Avalanche,Wild,0.355,2140709
2026-05-03 19:19:06+00:00,Soccer,Aston Villa FC vs. Tottenham Hotspur FC,No,0.9655,2029380
